Name,Category,Type1,Type2,Height,Weight,Ability1,Ability2,Description,Ability3
Glameow,Catty Pokemon,Normal,,(0.5m),(3.9 kg),Limber,Own Tempo,Description not available yet,Keen Eye
Purugly,Tiger Cat Pokemon,Normal,,(1m),(43.8 kg),Thick Fat,Own Tempo,Description not available yet,Defiant
Chingling,Bell Pokemon,Psychic,,(0.2m),(0.6 kg),Levitate,,Description not available yet,
Stunky,Skunk Pokemon,Poison,Dark,(0.4m),(19.2 kg),Stench,Aftermath,Description not available yet,Keen Eye
Skuntank,Skunk Pokemon,Poison,Dark,(1m),(38 kg),Stench,Aftermath,Description not available yet,Keen Eye
Bronzor,Bronze Pokemon,Steel,Psychic,(0.5m),(60.5 kg),Levitate,Heatproof,Description not available yet,Heavy Metal
Bronzong,Bronze Bell Pokemon,Steel,Psychic,(1.3m),(187 kg),Levitate,Heatproof,Description not available yet,Heavy Metal
Bonsly,Bonsai Pokemon,Rock,,(0.5m),(15 kg),Sturdy,Rock Head,Description not available yet,Rattled
Mime Jr.,Mime Pokemon,Psychic,Fairy,(0.6m),(13 kg),Soundproof,Filter,Description not available yet,Technician
Happiny,Playhouse Pokemon,Normal,,(0.6m),(24.4 kg),Natural Cure,Serene Grace,Description not available yet,Friend Guard
Chatot,Music Note Pokemon,Normal,Flying,(0.5m),(1.9 kg),Keen Eye,Tangled Feet,Description not available yet,Big Pecks
Spiritomb,Forbidden Pokemon,Ghost,Dark,(1m),(108 kg),Pressure,Infiltrator,Description not available yet,
Gible,Land Shark Pokemon,Dragon,Ground,(0.7m),(20.5 kg),Sand Veil,Rough Skin,Description not available yet,
Gabite,Cave Pokemon,Dragon,Ground,(1.4m),(56 kg),Sand Veil,Rough Skin,Description not available yet,
Garchomp,Mach Pokemon,Dragon,Ground,(1.9m),(95 kg),Sand Veil,Rough Skin,Description not available yet,
Munchlax,Big Eater Pokemon,Normal,,(0.6m),(105 kg),Pickup,Thick Fat,Description not available yet,Gluttony
Riolu,Emanation Pokemon,Fighting,,(0.7m),(20.2 kg),Steadfast,Inner Focus,Description not available yet,Prankster
Lucario,Aura Pokemon,Fighting,Steel,(1.2m),(54 kg),Steadfast,Inner Focus,Description not available yet,Justified
Hippopotas,Hippo Pokemon,Ground,,(0.8m),(49.5 kg),Sand Stream,Sand Force,Description not available yet,
Hippowdon,Heavyweight Pokemon,Ground,,(2m),(300 kg),Sand Stream,Sand Force,Description not available yet,
Skorupi,Scorpion Pokemon,Poison,Bug,(0.8m),(12 kg),Battle Armor,Sniper,Description not available yet,Keen Eye
Drapion,Ogre Scorp Pokemon,Poison,Dark,(1.3m),(61.5 kg),Battle Armor,Sniper,Description not available yet,Keen Eye
Croagunk,Toxic Mouth Pokemon,Poison,Fighting,(0.7m),(23 kg),Anticipation,Dry Skin,Description not available yet,Poison Touch
Toxicroak,Toxic Mouth Pokemon,Poison,Fighting,(1.3m),(44.4 kg),Anticipation,Dry Skin,Description not available yet,Poison Touch
Carnivine,Bug Catcher Pokemon,Grass,,(1.4m),(27 kg),Levitate,,Description not available yet,
Finneon,Wing Fish Pokemon,Water,,(0.4m),(7 kg),Swift Swim,Storm Drain,Description not available yet,Water Veil
Lumineon,Neon Pokemon,Water,,(1.2m),(24 kg),Swift Swim,Storm Drain,Description not available yet,Water Veil
Mantyke,Kite Pokemon,Water,Flying,(1m),(65 kg),Swift Swim,Water Absorb,Description not available yet,Water Veil
Snover,Frosted Tree Pokemon,Grass,Ice,(1m),(50.5 kg),Snow Warning,Soundproof,Description not available yet,
Abomasnow,Frosted Tree Pokemon,Grass,Ice,(2.2m),(135.5 kg),Snow Warning,Soundproof,Description not available yet,
Weavile,Sharp Claw Pokemon,Dark,Ice,(1.1m),(34 kg),Pressure,Pickpocket,Description not available yet,
Magnezone,Magnet Area Pokemon,Electric,Steel,(1.2m),(180 kg),Magnet Pull,Sturdy,Description not available yet,Analytic
Lickilicky,Licking Pokemon,Normal,,(1.7m),(140 kg),Own Tempo,Oblivious,Description not available yet,Cloud Nine
Rhyperior,Drill Pokemon,Ground,Rock,(2.4m),(282.8 kg),Lightningrod,Solid Rock,Description not available yet,Reckless
Tangrowth,Vine Pokemon,Grass,,(2m),(128.6 kg),Chlorophyll,Leaf Guard,Description not available yet,Regenerator
Electivire,Thunderbolt Pokemon,Electric,,(1.8m),(138.6 kg),Motor Drive,Vital Spirit,Description not available yet,
Magmortar,Blast Pokemon,Fire,,(1.6m),(68 kg),Flame Body,Vital Spirit,Description not available yet,
Togekiss,Jubilee Pokemon,Fairy,Flying,(1.5m),(38 kg),Hustle,Serene Grace,Description not available yet,Super Luck
Yanmega,Ogre Darner Pokemon,Bug,Flying,(1.9m),(51.5 kg),Speed Boost,Tinted Lens,Description not available yet,Frisk
Leafeon,Verdant Pokemon,Grass,,(1m),(25.5 kg),Leaf Guard,Chlorophyll,Description not available yet,
Glaceon,Fresh Snow Pokemon,Ice,,(0.8m),(25.9 kg),Snow Cloak,Ice Body,Description not available yet,
Gliscor,Fang Scorp Pokemon,Ground,Flying,(2m),(42.5 kg),Hyper Cutter,Sand Veil,Description not available yet,Poison Heal
Mamoswine,Twin Tusk Pokemon,Ice,Ground,(2.5m),(291 kg),Oblivious,Snow Cloak,Description not available yet,Thick Fat
Porygon-Z,Virtual Pokemon,Normal,,(0.9m),(34 kg),Adaptability,Download,Description not available yet,Analytic
Gallade,Blade Pokemon,Psychic,Fighting,(1.6m),(52 kg),Steadfast,Justified,Description not available yet,
Probopass,Compass Pokemon,Rock,Steel,(1.4m),(340 kg),Sturdy,Magnet Pull,Description not available yet,Sand Force
Dusknoir,Gripper Pokemon,Ghost,,(2.2m),(106.6 kg),Pressure,Frisk,Description not available yet,
Froslass,Snow Land Pokemon,Ice,Ghost,(1.3m),(26.6 kg),Snow Cloak,Cursed Body,Description not available yet,
Rotom,Plasma Pokemon,Electric,Ghost,(0.3m),(0.3 kg),Levitate,,Description not available yet,
Uxie,Knowledge Pokemon,Psychic,,(0.3m),(0.3 kg),Levitate,,Description not available yet,
Mesprit,Emotion Pokemon,Psychic,,(0.3m),(0.3 kg),Levitate,,Description not available yet,
Azelf,Willpower Pokemon,Psychic,,(0.3m),(0.3 kg),Levitate,,Description not available yet,
Dialga,Temporal Pokemon,Steel,Dragon,(5.4m),(683 kg),Pressure,Telepathy,Description not available yet,
Palkia,Spatial Pokemon,Water,Dragon,(4.2m),(336 kg),Pressure,Telepathy,Description not available yet,
Heatran,Lava Dome Pokemon,Fire,Steel,(1.7m),(430 kg),Flash Fire,Flame Body,Description not available yet,
Regigigas,Colossal Pokemon,Normal,,(3.7m),(420 kg),Slow Start,,Description not available yet,
Giratina,Renegade Pokemon,Ghost,Dragon,(4.5m),(750 kg),Pressure,Telepathy,Description not available yet,Levitate
Cresselia,Lunar Pokemon,Psychic,,(1.5m),(85.6 kg),Levitate,,Description not available yet,
Phione,Sea Drifter Pokemon,Water,,(0.4m),(3.1 kg),Hydration,,Description not available yet,
Manaphy,Seafaring Pokemon,Water,,(0.3m),(1.4 kg),Hydration,,Description not available yet,
Darkrai,Pitch-Black Pokemon,Dark,,(1.5m),(50.5 kg),Bad Dreams,,Description not available yet,
Shaymin,Gratitude Pokemon,Grass,Grass,(0.2m),(2.1 kg),Natural Cure,Serene Grace,Description not available yet,
Arceus,Alpha Pokemon,Normal,,(3.2m),(320 kg),Multitype,,Description not available yet,
Victini,Victory Pokemon,Psychic,Fire,(0.4m),(4 kg),Victory Star,,Description not available yet,
Snivy,Grass Snake Pokemon,Grass,,(0.6m),(8.1 kg),Overgrow,Contrary,Description not available yet,
Servine,Grass Snake Pokemon,Grass,,(0.8m),(16 kg),Overgrow,Contrary,Description not available yet,
Serperior,Regal Pokemon,Grass,,(3.3m),(63 kg),Overgrow,Contrary,Description not available yet,
Tepig,Fire Pig Pokemon,Fire,,(0.5m),(9.9 kg),Blaze,Thick Fat,Description not available yet,
Pignite,Fire Pig Pokemon,Fire,Fighting,(1m),(55.5 kg),Blaze,Thick Fat,Description not available yet,
Emboar,Mega Fire Pig Pokemon,Fire,Fighting,(1.6m),(150 kg),Blaze,Reckless,Description not available yet,
Oshawott,Sea Otter Pokemon,Water,,(0.5m),(5.9 kg),Torrent,Shell Armor,Description not available yet,
Dewott,Discipline Pokemon,Water,,(0.8m),(24.5 kg),Torrent,Shell Armor,Description not available yet,
Samurott,Formidable Pokemon,Water,,(1.5m),(94.6 kg),Torrent,Shell Armor,Description not available yet,
Patrat,Scout Pokemon,Normal,,(0.5m),(11.6 kg),Run Away,Keen Eye,Description not available yet,Analytic
Watchog,Lookout Pokemon,Normal,,(1.1m),(27 kg),Illuminate,Keen Eye,Description not available yet,Analytic
Lillipup,Puppy Pokemon,Normal,,(0.4m),(4.1 kg),Vital Spirit,Pickup,Description not available yet,Run Away
Herdier,Loyal Dog Pokemon,Normal,,(0.9m),(14.7 kg),Intimidate,Sand Rush,Description not available yet,Scrappy
Stoutland,Big-Hearted Pokemon,Normal,,(1.2m),(61 kg),Intimidate,Sand Rush,Description not available yet,Scrappy
Purrloin,Devious Pokemon,Dark,,(0.4m),(10.1 kg),Limber,Unburden,Description not available yet,Prankster
Liepard,Cruel Pokemon,Dark,,(1.1m),(37.5 kg),Limber,Unburden,Description not available yet,Prankster
Pansage,Grass Monkey Pokemon,Grass,,(0.6m),(10.5 kg),Gluttony,Overgrow,Description not available yet,
Simisage,Thorn Monkey Pokemon,Grass,,(1.1m),(30.5 kg),Gluttony,Overgrow,Description not available yet,
Pansear,High Temp Pokemon,Fire,,(0.6m),(11 kg),Gluttony,Blaze,Description not available yet,
Simisear,Ember Pokemon,Fire,,(1m),(28 kg),Gluttony,Blaze,Description not available yet,
Panpour,Spray Pokemon,Water,,(0.6m),(13.5 kg),Gluttony,Torrent,Description not available yet,
Simipour,Geyser Pokemon,Water,,(1m),(29 kg),Gluttony,Torrent,Description not available yet,
Munna,Dream Eater Pokemon,Psychic,,(0.6m),(23.3 kg),Forewarn,Synchronize,Description not available yet,Telepathy
Musharna,Drowsing Pokemon,Psychic,,(1.1m),(60.5 kg),Forewarn,Synchronize,Description not available yet,Telepathy
Pidove,Tiny Pigeon Pokemon,Normal,Flying,(0.3m),(2.1 kg),Big Pecks,Super Luck,Description not available yet,Rivalry
Tranquill,Wild Pigeon Pokemon,Normal,Flying,(0.6m),(15 kg),Big Pecks,Super Luck,Description not available yet,Rivalry
Unfezant,Proud Pokemon,Normal,Flying,(1.2m),(29 kg),Big Pecks,Super Luck,Description not available yet,Rivalry
Blitzle,Electrified Pokemon,Electric,,(0.8m),(29.8 kg),Lightningrod,Motor Drive,Description not available yet,Sap Sipper
Zebstrika,Thunderbolt Pokemon,Electric,,(1.6m),(79.5 kg),Lightningrod,Motor Drive,Description not available yet,Sap Sipper
Roggenrola,Mantle Pokemon,Rock,,(0.4m),(18 kg),Sturdy,Weak Armor,Description not available yet,Sand Force
Boldore,Ore Pokemon,Rock,,(0.9m),(102 kg),Sturdy,Weak Armor,Description not available yet,Sand Force
Gigalith,Compressed Pokemon,Rock,,(1.7m),(260 kg),Sturdy,Sand Stream,Description not available yet,Sand Force
Woobat,Bat Pokemon,Psychic,Flying,(0.4m),(2.1 kg),Unaware,Klutz,Description not available yet,Simple
Swoobat,Courting Pokemon,Psychic,Flying,(0.9m),(10.5 kg),Unaware,Klutz,Description not available yet,Simple
Drilbur,Mole Pokemon,Ground,,(0.3m),(8.5 kg),Sand Rush,Sand Force,Description not available yet,Mold Breaker
Excadrill,Subterrene Pokemon,Ground,Steel,(0.7m),(40.4 kg),Sand Rush,Sand Force,Description not available yet,Mold Breaker
Audino,Hearing Pokemon,Normal,,(1.1m),(31 kg),Healer,Regenerator,Description not available yet,Klutz
Timburr,Muscular Pokemon,Fighting,,(0.6m),(12.5 kg),Guts,Sheer Force,Description not available yet,Iron Fist
Gurdurr,Muscular Pokemon,Fighting,,(1.2m),(40 kg),Guts,Sheer Force,Description not available yet,Iron Fist
Conkeldurr,Muscular Pokemon,Fighting,,(1.4m),(87 kg),Guts,Sheer Force,Description not available yet,Iron Fist
Tympole,Tadpole Pokemon,Water,,(0.5m),(4.5 kg),Swift Swim,Hydration,Description not available yet,Water Absorb
Palpitoad,Vibration Pokemon,Water,Ground,(0.8m),(17 kg),Swift Swim,Hydration,Description not available yet,Water Absorb
Seismitoad,Vibration Pokemon,Water,Ground,(1.5m),(62 kg),Swift Swim,Poison Touch,Description not available yet,Water Absorb
Throh,Judo Pokemon,Fighting,,(1.3m),(55.5 kg),Guts,Inner Focus,Description not available yet,Mold Breaker
Sawk,Karate Pokemon,Fighting,,(1.4m),(51 kg),Sturdy,Inner Focus,Description not available yet,Mold Breaker
Sewaddle,Sewing Pokemon,Bug,Grass,(0.3m),(2.5 kg),Swarm,Chlorophyll,Description not available yet,Overcoat
Swadloon,Leaf-Wrapped Pokemon,Bug,Grass,(0.5m),(7.3 kg),Leaf Guard,Chlorophyll,Description not available yet,Overcoat
Leavanny,Nurturing Pokemon,Bug,Grass,(1.2m),(20.5 kg),Swarm,Chlorophyll,Description not available yet,Overcoat
Venipede,Centipede Pokemon,Bug,Poison,(0.4m),(5.3 kg),Poison Point,Swarm,Description not available yet,Speed Boost
Whirlipede,Curlipede Pokemon,Bug,Poison,(1.2m),(58.5 kg),Poison Point,Swarm,Description not available yet,Speed Boost
Scolipede,Megapede Pokemon,Bug,Poison,(2.5m),(200.5 kg),Poison Point,Swarm,Description not available yet,Speed Boost
Cottonee,Cotton Puff Pokemon,Grass,Fairy,(0.3m),(0.6 kg),Prankster,Infiltrator,Description not available yet,Chlorophyll
Whimsicott,Windveiled Pokemon,Grass,Fairy,(0.7m),(6.6 kg),Prankster,Infiltrator,Description not available yet,Chlorophyll
Petilil,Bulb Pokemon,Grass,,(0.5m),(6.6 kg),Chlorophyll,Own Tempo,Description not available yet,Leaf Guard
Lilligant,Flowering Pokemon,Grass,,(1.1m),(16.3 kg),Chlorophyll,Own Tempo,Description not available yet,Leaf Guard
Basculin,Hostile Pokemon,Water,,(1m),(18 kg),Reckless,Rock Head,Description not available yet,Adaptability
Sandile,Desert Croc Pokemon,Ground,Dark,(0.7m),(15.2 kg),Intimidate,Moxie,Description not available yet,Anger Point
Krokorok,Desert Croc Pokemon,Ground,Dark,(1m),(33.4 kg),Intimidate,Moxie,Description not available yet,Anger Point
Krookodile,Intimidation Pokemon,Ground,Dark,(1.5m),(96.3 kg),Intimidate,Moxie,Description not available yet,Anger Point
Darumaka,Zen Charm Pokemon,Fire,,(0.6m),(37.5 kg),Hustle,Inner Focus,Description not available yet,
Darmanitan,Blazing Pokemon,Fire,Fire,(1.3m),(92.9 kg),Sheer Force,Zen Mode,Description not available yet,
Maractus,Cactus Pokemon,Grass,,(1m),(28 kg),Water Absorb,Chlorophyll,Description not available yet,Storm Drain
Dwebble,Rock Inn Pokemon,Bug,Rock,(0.3m),(14.5 kg),Sturdy,Shell Armor,Description not available yet,Weak Armor
Crustle,Stone Home Pokemon,Bug,Rock,(1.4m),(200 kg),Sturdy,Shell Armor,Description not available yet,Weak Armor
Scraggy,Shedding Pokemon,Dark,Fighting,(0.6m),(11.8 kg),Shed Skin,Moxie,Description not available yet,Intimidate
Scrafty,Hoodlum Pokemon,Dark,Fighting,(1.1m),(30 kg),Shed Skin,Moxie,Description not available yet,Intimidate
Sigilyph,Avianoid Pokemon,Psychic,Flying,(1.4m),(14 kg),Wonder Skin ,Magic Guard,Description not available yet,Tinted Lens
Yamask,Spirit Pokemon,Ghost,,(0.5m),(1.5 kg),Mummy,,Description not available yet,
Cofagrigus,Coffin Pokemon,Ghost,,(1.7m),(76.5 kg),Mummy,,Description not available yet,
Tirtouga,Prototurtle Pokemon,Water,Rock,(0.7m),(16.5 kg),Solid Rock,Sturdy,Description not available yet,Swift Swim
Carracosta,Prototurtle Pokemon,Water,Rock,(1.2m),(81 kg),Solid Rock,Sturdy,Description not available yet,Swift Swim
Archen,First Bird Pokemon,Rock,Flying,(0.5m),(9.5 kg),Defeatist,,Description not available yet,
Archeops,First Bird Pokemon,Rock,Flying,(1.4m),(32 kg),Defeatist,,Description not available yet,
Trubbish,Trash Bag Pokemon,Poison,,(0.6m),(31 kg),Stench,Sticky Hold,Description not available yet,Aftermath
Garbodor,Trash Heap Pokemon,Poison,,(1.9m),(107.3 kg),Stench,Weak Armor,Description not available yet,Aftermath
Zorua,Tricky Fox Pokemon,Dark,,(0.7m),(12.5 kg),Illusion,,Description not available yet,
Zoroark,Illusion Fox Pokemon,Dark,,(1.6m),(81.1 kg),Illusion,,Description not available yet,
Minccino,Chinchilla Pokemon,Normal,,(0.4m),(5.8 kg),Cute Charm,Technician,Description not available yet,Skill Link
Cinccino,Scarf Pokemon,Normal,,(0.5m),(7.5 kg),Cute Charm,Technician,Description not available yet,Skill Link
Gothita,Fixation Pokemon,Psychic,,(0.4m),(5.8 kg),Frisk,Competitive,Description not available yet,Shadow Tag
Gothorita,Manipulate Pokemon,Psychic,,(0.7m),(18 kg),Frisk,Competitive,Description not available yet,Shadow Tag
Gothitelle,Astral Body Pokemon,Psychic,,(1.5m),(44 kg),Frisk,Competitive,Description not available yet,Shadow Tag
Solosis,Cell Pokemon,Psychic,,(0.3m),(1 kg),Overcoat,Magic Guard,Description not available yet,Regenerator
Duosion,Mitosis Pokemon,Psychic,,(0.6m),(8 kg),Overcoat,Magic Guard,Description not available yet,Regenerator
Reuniclus,Multiplying Pokemon,Psychic,,(1m),(20.1 kg),Overcoat,Magic Guard,Description not available yet,Regenerator
Ducklett,Water Bird Pokemon,Water,Flying,(0.5m),(5.5 kg),Keen Eye,Big Pecks,Description not available yet,Hydration
Swanna,White Bird Pokemon,Water,Flying,(1.3m),(24.2 kg),Keen Eye,Big Pecks,Description not available yet,Hydration
Vanillite,Fresh Snow Pokemon,Ice,,(0.4m),(5.7 kg),Ice Body,Snow Cloak,Description not available yet,Weak Armor
Vanillish,Icy Snow Pokemon,Ice,,(1.1m),(41 kg),Ice Body,Snow Cloak,Description not available yet,Weak Armor
Vanilluxe,Snowstorm Pokemon,Ice,,(1.3m),(57.5 kg),Ice Body,Snow Warning,Description not available yet,Weak Armor
Deerling,Season Pokemon,Normal,Grass,(0.6m),(19.5 kg),Chlorophyll,Sap Sipper,Description not available yet,Serene Grace
Sawsbuck,Season Pokemon,Normal,Grass,(1.9m),(92.5 kg),Chlorophyll,Sap Sipper,Description not available yet,Serene Grace
Emolga,Sky Squirrel Pokemon,Electric,Flying,(0.4m),(5 kg),Static,Motor Drive,Description not available yet,
Karrablast,Clamping Pokemon,Bug,,(0.5m),(5.9 kg),Swarm,Shed Skin,Description not available yet,No Guard
Escavalier,Cavalry Pokemon,Bug,Steel,(1m),(33 kg),Swarm,Shell Armor,Description not available yet,Overcoat
Foongus,Mushroom Pokemon,Grass,Poison,(0.2m),(1 kg),Effect Spore,Regenerator,Description not available yet,
Amoonguss,Mushroom Pokemon,Grass,Poison,(0.6m),(10.5 kg),Effect Spore,Regenerator,Description not available yet,
Frillish,Floating Pokemon,Water,Ghost,(1.2m),(33 kg),Water Absorb,Cursed Body,Description not available yet,Damp
Jellicent,Floating Pokemon,Water,Ghost,(2.2m),(135 kg),Water Absorb,Cursed Body,Description not available yet,Damp
Alomomola,Caring Pokemon,Water,,(1.2m),(31.6 kg),Healer,Hydration,Description not available yet,Regenerator
Joltik,Attaching Pokemon,Bug,Electric,(0.1m),(0.6 kg),Compoundeyes,Unnerve,Description not available yet,Swarm
Galvantula,EleSpider Pokemon,Bug,Electric,(0.8m),(14.3 kg),Compoundeyes,Unnerve,Description not available yet,Swarm
Ferroseed,Thorn Seed Pokemon,Grass,Steel,(0.6m),(18.8 kg),Iron Barbs,,Description not available yet,
Ferrothorn,Thorn Pod Pokemon,Grass,Steel,(1m),(110 kg),Iron Barbs,Anticipation,Description not available yet,
Klink,Gear Pokemon,Steel,,(0.3m),(21 kg),Plus,Minus,Description not available yet,Clear Body
Klang,Gear Pokemon,Steel,,(0.6m),(51 kg),Plus,Minus,Description not available yet,Clear Body
Klinklang,Gear Pokemon,Steel,,(0.6m),(81 kg),Plus,Minus,Description not available yet,Clear Body
Tynamo,EleFish Pokemon,Electric,,(0.2m),(0.3 kg),Levitate,,Description not available yet,
Eelektrik,EleFish Pokemon,Electric,,(1.2m),(22 kg),Levitate,,Description not available yet,
Eelektross,EleFish Pokemon,Electric,,(2.1m),(80.5 kg),Levitate,,Description not available yet,
Elgyem,Cerebral Pokemon,Psychic,,(0.5m),(9 kg),Telepathy,Synchronize,Description not available yet,Analytic
Beheeyem,Cerebral Pokemon,Psychic,,(1m),(34.5 kg),Telepathy,Synchronize,Description not available yet,Analytic
Litwick,Candle Pokemon,Ghost,Fire,(0.3m),(3.1 kg),Flash Fire,Flame Body,Description not available yet,Infiltrator
Lampent,Lamp Pokemon,Ghost,Fire,(0.6m),(13 kg),Flash Fire,Flame Body,Description not available yet,Infiltrator
Chandelure,Luring Pokemon,Ghost,Fire,(1m),(34.3 kg),Flash Fire,Flame Body,Description not available yet,Infiltrator
Axew,Tusk Pokemon,Dragon,,(0.6m),(18 kg),Rivalry,Mold Breaker,Description not available yet,Unnerve
Fraxure,Axe Jaw Pokemon,Dragon,,(1m),(36 kg),Rivalry,Mold Breaker,Description not available yet,Unnerve
Haxorus,Axe Jaw Pokemon,Dragon,,(1.8m),(105.5 kg),Rivalry,Mold Breaker,Description not available yet,Unnerve
Cubchoo,Chill Pokemon,Ice,,(0.5m),(8.5 kg),Snow Cloak,Slush Rush,Description not available yet,Rattled
Beartic,Freezing Pokemon,Ice,,(2.6m),(260 kg),Snow Cloak,Slush Rush,Description not available yet,Swift Swim
