Name,Category,Type1,Type2,Height,Weight,Ability1,Ability2,Description,Ability3
Cryogonal,Crystallizing Pokemon,Ice,,(1.1m),(148 kg),Levitate,,Description not available yet,
Shelmet,Snail Pokemon,Bug,,(0.4m),(7.7 kg),Hydration,Shell Armor,Description not available yet,Overcoat
Accelgor,Shell Out Pokemon,Bug,,(0.8m),(25.3 kg),Hydration,Sticky Hold,Description not available yet,Unburden
Stunfisk,Trap Pokemon,Ground,Electric,(0.7m),(11 kg),Static,Limber,Description not available yet,Sand Veil
Mienfoo,Martial Arts Pokemon,Fighting,,(0.9m),(20 kg),Inner Focus,Regenerator,Description not available yet,Reckless
Mienshao,Martial Arts Pokemon,Fighting,,(1.4m),(35.5 kg),Inner Focus,Regenerator,Description not available yet,Reckless
Druddigon,Cave Pokemon,Dragon,,(1.6m),(139 kg),Rough Skin,Sheer Force,Description not available yet,Mold Breaker
Golett,Automaton Pokemon,Ground,Ghost,(1m),(92 kg),Iron Fist,Klutz,Description not available yet,No Guard
Golurk,Automaton Pokemon,Ground,Ghost,(2.8m),(330 kg),Iron Fist,Klutz,Description not available yet,No Guard
Pawniard,Sharp Blade Pokemon,Dark,Steel,(0.5m),(10.2 kg),Defiant,Inner Focus,Description not available yet,Pressure
Bisharp,Sword Blade Pokemon,Dark,Steel,(1.6m),(70 kg),Defiant,Inner Focus,Description not available yet,Pressure
Bouffalant,Bash Buffalo Pokemon,Normal,,(1.6m),(94.6 kg),Reckless,Sap Sipper,Description not available yet,Soundproof
Rufflet,Eaglet Pokemon,Normal,Flying,(0.5m),(10.5 kg),Keen Eye,Sheer Force,Description not available yet,Hustle
Braviary,Valiant Pokemon,Normal,Flying,(1.5m),(41 kg),Keen Eye,Sheer Force,Description not available yet,Defiant
Vullaby,Diapered Pokemon,Dark,Flying,(0.5m),(9 kg),Big Pecks,Overcoat,Description not available yet,Weak Armor
Mandibuzz,Bone Vulture Pokemon,Dark,Flying,(1.2m),(39.5 kg),Big Pecks,Overcoat,Description not available yet,Weak Armor
Heatmor,Anteater Pokemon,Fire,,(1.4m),(58 kg),Gluttony,Flash Fire,Description not available yet,White Smoke
Durant,Iron Ant Pokemon,Bug,Steel,(0.3m),(33 kg),Swarm,Hustle,Description not available yet,Truant
Deino,Irate Pokemon,Dark,Dragon,(0.8m),(17.3 kg),Hustle,,Description not available yet,
Zweilous,Hostile Pokemon,Dark,Dragon,(1.4m),(50 kg),Hustle,,Description not available yet,
Hydreigon,Brutal Pokemon,Dark,Dragon,(1.8m),(160 kg),Levitate,,Description not available yet,
Larvesta,Torch Pokemon,Bug,Fire,(1.1m),(28.8 kg),Flame Body,Swarm,Description not available yet,
Volcarona,Sun Pokemon,Bug,Fire,(1.6m),(46 kg),Flame Body,Swarm,Description not available yet,
Cobalion,Iron Will Pokemon,Steel,Fighting,(2.1m),(250 kg),Justified,,Description not available yet,
Terrakion,Cavern Pokemon,Rock,Fighting,(1.9m),(260 kg),Justified,,Description not available yet,
Virizion,Grassland Pokemon,Grass,Fighting,(2m),(200 kg),Justified,,Description not available yet,
Tornadus,Cyclone Pokemon,Flying,,(1.5m),(63 kg),Prankster,Defiant,Description not available yet,Regenerator
Thundurus,Bolt Strike Pokemon,Electric,Flying,(1.5m),(61 kg),Prankster,Defiant,Description not available yet,Volt Absorb
Reshiram,Vast White Pokemon,Dragon,Fire,(3.2m),(330 kg),Turboblaze,,Description not available yet,
Zekrom,Deep Black Pokemon,Dragon,Electric,(2.9m),(345 kg),Teravolt,,Description not available yet,
Landorus,Abundance Pokemon,Ground,Flying,(1.5m),(68 kg),Sand Force,Sheer Force,Description not available yet,Intimidate
Kyurem,Boundary Pokemon,Dragon,Ice,(3m),(325 kg),Pressure,Teravolt,Description not available yet,Turboblaze
Keldeo,Colt Pokemon,Water,Fighting,(1.4m),(48.5 kg),Justified,,Description not available yet,
Meloetta,Melody Pokemon,Normal,Psychic,(0.6m),(6.5 kg),Serene Grace,,Description not available yet,
Genesect,Paleozoic Pokemon,Bug,Steel,(1.5m),(82.5 kg),Download,,Description not available yet,
Chespin,Spiky Nut Pokemon,Grass,,(0.4m),(9 kg),Overgrow,Bulletproof,Description not available yet,
Quilladin,Spiny Armor Pokemon,Grass,,(0.7m),(29 kg),Overgrow,Bulletproof,Description not available yet,
Chesnaught,Spiny Armor Pokemon,Grass,Fighting,(1.6m),(90 kg),Overgrow,Bulletproof,Description not available yet,
Fennekin,Fox Pokemon,Fire,,(0.4m),(9.4 kg),Blaze,Magician,Description not available yet,
Braixen,Fox Pokemon,Fire,,(1m),(14.5 kg),Blaze,Magician,Description not available yet,
Delphox,Fox Pokemon,Fire,Psychic,(1.5m),(39 kg),Blaze,Magician,Description not available yet,
Froakie,Bubble Frog Pokemon,Water,,(0.3m),(7 kg),Torrent,Protean,Description not available yet,
Frogadier,Bubble Frog Pokemon,Water,,(0.6m),(10.9 kg),Torrent,Protean,Description not available yet,
Greninja,Ninja Pokemon,Water,Dark,(1.5m),(40 kg),Torrent,Protean,Description not available yet,Battle Bond
Bunnelby,Digging Pokemon,Normal,,(0.4m),(5 kg),Pickup,Cheek Pouch,Description not available yet,Huge Power
Diggersby,Digging Pokemon,Normal,Ground,(1m),(42.4 kg),Pickup,Cheek Pouch,Description not available yet,Huge Power
Fletchling,Tiny Robin Pokemon,Normal,Flying,(0.3m),(1.7 kg),Big Pecks,Gale Wings,Description not available yet,
Fletchinder,Ember Pokemon,Fire,Flying,(0.7m),(16 kg),Flame Body,Gale Wings,Description not available yet,
Talonflame,Scorching Pokemon,Fire,Flying,(1.2m),(24.5 kg),Flame Body,Gale Wings,Description not available yet,
Scatterbug,Scatterdust Pokemon,Bug,,(0.3m),(2.5 kg),Shield Dust,Compoundeyes,Description not available yet,Friend Guard
Spewpa,Scatterdust Pokemon,Bug,,(0.3m),(8.4 kg),Shed Skin,Friend Guard,Description not available yet,
Vivillon,Scale Pokemon,Bug,Flying,(1.2m),(17 kg),Shield Dust,Compoundeyes,Description not available yet,Friend Guard
Litleo,Lion Cub Pokemon,Fire,Normal,(0.6m),(13.5 kg),Rivalry,Unnerve,Description not available yet,Moxie
Pyroar,Royal Pokemon,Fire,Normal,(1.5m),(81.5 kg),Rivalry,Unnerve,Description not available yet,Moxie
Flabebe,Single Bloom Pokemon,Fairy,,(0.1m),(0.1 kg),Flower Veil,Symbiosis,Description not available yet,
Floette,Fairy Pokemon,Fairy,,(0.2m),(0.9 kg),Flower Veil,Symbiosis,Description not available yet,
Florges,Garden Pokemon,Fairy,,(1.1m),(10 kg),Flower Veil,Symbiosis,Description not available yet,
Skiddo,Mount Pokemon,Grass,,(0.9m),(31 kg),Sap Sipper,Grass Pelt,Description not available yet,
Gogoat,Mount Pokemon,Grass,,(1.7m),(91 kg),Sap Sipper,Grass Pelt,Description not available yet,
Pancham,Playful Pokemon,Fighting,,(0.6m),(8 kg),Iron Fist,Mold Breaker,Description not available yet,Scrappy
Pangoro,Daunting Pokemon,Fighting,Dark,(2.1m),(136 kg),Iron Fist,Mold Breaker,Description not available yet,Scrappy
Furfrou,Poodle Pokemon,Normal,,(1.2m),(28 kg),Fur Coat,,Description not available yet,
Espurr,Restraint Pokemon,Psychic,,(0.3m),(3.5 kg),Keen Eye,Infiltrator,Description not available yet,Own Tempo
Meowstic,Constraint Pokemon,Psychic,,(0.6m),(8.5 kg),Keen Eye,Infiltrator,Description not available yet,Prankster
Honedge,Sword Pokemon,Steel,Ghost,(0.8m),(2 kg),No Guard,,Description not available yet,
Doublade,Sword Pokemon,Steel,Ghost,(0.8m),(4.5 kg),No Guard,,Description not available yet,
Aegislash,Royal Sword Pokemon,Steel,Ghost,(1.7m),(53 kg),Stance Change,,Description not available yet,
Spritzee,Perfume Pokemon,Fairy,,(0.2m),(0.5 kg),Healer,Aroma Veil,Description not available yet,
Aromatisse,Fragrance Pokemon,Fairy,,(0.8m),(15.5 kg),Healer,Aroma Veil,Description not available yet,
Swirlix,Cotton Candy Pokemon,Fairy,,(0.4m),(3.5 kg),Sweet Veil,Unburden,Description not available yet,
Slurpuff,Meringue Pokemon,Fairy,,(0.8m),(5 kg),Sweet Veil,Unburden,Description not available yet,
Inkay,Revolving Pokemon,Dark,Psychic,(0.4m),(3.5 kg),Contrary,Suction Cups,Description not available yet,Infiltrator
Malamar,Overturning Pokemon,Dark,Psychic,(1.5m),(47 kg),Contrary,Suction Cups,Description not available yet,Infiltrator
Binacle,Two-Handed Pokemon,Rock,Water,(0.5m),(31 kg),Tough Claws,Sniper,Description not available yet,Pickpocket
Barbaracle,Collective Pokemon,Rock,Water,(1.3m),(96 kg),Tough Claws,Sniper,Description not available yet,Pickpocket
Skrelp,Mock Kelp Pokemon,Poison,Water,(0.5m),(7.3 kg),Poison Point,Poison Touch,Description not available yet,Adaptability
Dragalge,Mock Kelp Pokemon,Poison,Dragon,(1.8m),(81.5 kg),Poison Point,Poison Touch,Description not available yet,Adaptability
Clauncher,Water Gun Pokemon,Water,,(0.5m),(8.3 kg),Mega Launcher,,Description not available yet,
Clawitzer,Howitzer Pokemon,Water,,(1.3m),(35.3 kg),Mega Launcher,,Description not available yet,
Helioptile,Generator Pokemon,Electric,Normal,(0.5m),(6 kg),Dry Skin,Sand Veil,Description not available yet,Solar Power
Heliolisk,Generator Pokemon,Electric,Normal,(1m),(21 kg),Dry Skin,Sand Veil,Description not available yet,Solar Power
Tyrunt,Royal Heir Pokemon,Rock,Dragon,(0.8m),(26 kg),Strong Jaw,Sturdy,Description not available yet,
Tyrantrum,Despot Pokemon,Rock,Dragon,(2.5m),(270 kg),Strong Jaw,Rock Head,Description not available yet,
Amaura,Tundra Pokemon,Rock,Ice,(1.3m),(25.2 kg),Refrigerate,Snow Warning,Description not available yet,
Aurorus,Tundra Pokemon,Rock,Ice,(2.7m),(225 kg),Refrigerate,Snow Warning,Description not available yet,
Sylveon,Intertwining Pokemon,Fairy,,(1m),(23.5 kg),Cute Charm,Pixilate,Description not available yet,
Hawlucha,Wrestling Pokemon,Fighting,Flying,(0.8m),(21.5 kg),Limber,Unburden,Description not available yet,Mold Breaker
Dedenne,Antenna Pokemon,Electric,Fairy,(0.2m),(2.2 kg),Cheek Pouch,Pickup,Description not available yet,Plus
Carbink,Jewel Pokemon,Rock,Fairy,(0.3m),(5.7 kg),Clear Body,Sturdy,Description not available yet,
Goomy,Soft Tissue Pokemon,Dragon,,(0.3m),(2.8 kg),Sap Sipper,Hydration,Description not available yet,Gooey
Sliggoo,Soft Tissue Pokemon,Dragon,,(0.8m),(17.5 kg),Sap Sipper,Hydration,Description not available yet,Gooey
Goodra,Dragon Pokemon,Dragon,,(2m),(150.5 kg),Sap Sipper,Hydration,Description not available yet,Gooey
Klefki,Key Ring Pokemon,Steel,Fairy,(0.2m),(3 kg),Prankster,Magician,Description not available yet,
Phantump,Stump Pokemon,Ghost,Grass,(0.4m),(7 kg),Natural Cure,Frisk,Description not available yet,Harvest
Trevenant,Elder Tree Pokemon,Ghost,Grass,(1.5m),(71 kg),Natural Cure,Frisk,Description not available yet,Harvest
Pumpkaboo,Pumpkin Pokemon,Ghost,Grass,(0.8m),(15 kg),Pickup,Frisk,Description not available yet,Insomnia
Gourgeist,Pumpkin Pokemon,Ghost,Grass,(1.7m),(39 kg),Pickup,Frisk,Description not available yet,Insomnia
Bergmite,Ice Chunk Pokemon,Ice,,(1m),(99.5 kg),Own Tempo,Ice Body,Description not available yet,Sturdy
Avalugg,Iceberg Pokemon,Ice,,(2m),(505 kg),Own Tempo,Ice Body,Description not available yet,Sturdy
Noibat,Sound Wave Pokemon,Flying,Dragon,(0.5m),(8 kg),Frisk,Infiltrator,Description not available yet,Telepathy
Noivern,Sound Wave Pokemon,Flying,Dragon,(1.5m),(85 kg),Frisk,Infiltrator,Description not available yet,Telepathy
Xerneas,Life Pokemon,Fairy,,(3m),(215 kg),Fairy Aura,,Description not available yet,
Yveltal,Destruction Pokemon,Dark,Flying,(5.8m),(203 kg),Dark Aura,,Description not available yet,
Zygarde,Order Pokemon,Dragon,Ground,(5m),(284.6 kg),Aura Break,Power Construct,Description not available yet,
Diancie,Jewel Pokemon,Rock,Fairy,(0.7m),(8.8 kg),Clear Body,,Description not available yet,
Hoopa,Mischief Pokemon (Confined)Djinn Pokemonn (Unbound),Psychic,Ghost,(Nonem),(None kg),Magician,,Description not available yet,
Volcanion,Steam Pokemon,Fire,Water,(1.7m),(195 kg),Water Absorb,,Description not available yet,
Rowlet,Grass Quill Pokemon,Grass,Flying,(0.3m),(1.5 kg),Overgrow,Long Reach,Description not available yet,
Dartrix,Blade Quill Pokemon,Grass,Flying,(0.7m),(16 kg),Overgrow,Long Reach,Description not available yet,
Decidueye,Arrow Quill Pokemon,Grass,Ghost,(1.6m),(36.6 kg),Overgrow,Long Reach,Description not available yet,
Litten,Fire Cat Pokemon,Fire,,(0.4m),(4.3 kg),Blaze,Intimidate,Description not available yet,
Torracat,Fire Cat Pokemon,Fire,,(0.7m),(25 kg),Blaze,Intimidate,Description not available yet,
Incineroar,Heel Pokemon,Fire,Dark,(1.8m),(83 kg),Blaze,Intimidate,Description not available yet,
Popplio,Sea Lion Pokemon,Water,,(0.4m),(7.5 kg),Torrent,Liquid Voice,Description not available yet,
Brionne,Pop Star Pokemon,Water,,(0.6m),(17.5 kg),Torrent,Liquid Voice,Description not available yet,
Primarina,Soloist Pokemon,Water,Fairy,(1.8m),(44 kg),Torrent,Liquid Voice,Description not available yet,
Pikipek,Woodpecker Pokemon,Normal,Flying,(0.3m),(1.2 kg),Keen Eye,Skill Link,Description not available yet,Pickup
Trumbeak,Bugle Beak Pokemon,Normal,Flying,(0.6m),(14.8 kg),Keen Eye,Skill Link,Description not available yet,Pickup
Toucannon,Cannon Pokemon,Normal,Flying,(1.1m),(26 kg),Keen Eye,Skill Link,Description not available yet,Sheer Force
Yungoos,Loitering Pokemon,Normal,,(0.4m),(6 kg),Stakeout,Strong Jaw,Description not available yet,Adaptability
Gumshoos,Stakeout Pokemon,Normal,,(0.7m),(14.2 kg),Stakeout,Strong Jaw,Description not available yet,Adaptability
Grubbin,Larva Pokemon,Bug,,(0.4m),(4.4 kg),Swarm,,Description not available yet,
Charjabug,Battery Pokemon,Bug,Electric,(0.5m),(10.5 kg),Battery,,Description not available yet,
Vikavolt,Stag Beetle Pokemon,Bug,Electric,(1.5m),(45 kg),Levitate,,Description not available yet,
Crabrawler,Boxing Pokemon,Fighting,,(0.6m),(7 kg),Hyper Cutter,Iron Fist,Description not available yet,Anger Point
Crabominable,Woolly Crab Pokemon,Fighting,Ice,(1.7m),(180 kg),Hyper Cutter,Iron Fist,Description not available yet,Anger Point
Oricorio,Dancing Pokemon,Fire,Flying,(0.6m),(3.4 kg),Dancer,,Description not available yet,
Cutiefly,Bee Fly Pokemon,Bug,Fairy,(0.1m),(0.2 kg),Honey Gather,Shield Dust,Description not available yet,Sweet Veil
Ribombee,Bee Fly Pokemon,Bug,Fairy,(0.2m),(0.5 kg),Honey Gather,Shield Dust,Description not available yet,Sweet Veil
Rockruff,Puppy Pokemon,Rock,,(0.5m),(9.2 kg),Keen Eye,Vital Spirit,Description not available yet,Steadfast
Lycanroc,Wolf Pokemon,Rock,,(Nonem),(None kg),Keen Eye,Sand Rush,Description not available yet,Steadfast
Wishiwashi,Small Fry Pokemon,Water,,(0.2m),(0.3 kg),Schooling,,Description not available yet,
Mareanie,Brutal Star Pokemon,Poison,Water,(0.4m),(8 kg),Merciless,Limber,Description not available yet,Regenerator
Toxapex,Brutal Star Pokemon,Poison,Water,(0.7m),(14.5 kg),Merciless,Limber,Description not available yet,Regenerator
Mudbray,Donkey Pokemon,Ground,,(1m),(110 kg),Own Tempo,Stamina,Description not available yet,Inner Focus
Mudsdale,Draft Horse Pokemon,Ground,,(2.5m),(920 kg),Own Tempo,Stamina,Description not available yet,Inner Focus
Dewpider,Water Bubble Pokemon,Water,Bug,(0.3m),(4 kg),Water Bubble,Water Absorb,Description not available yet,
Araquanid,Water Bubble Pokemon,Water,Bug,(1.8m),(82 kg),Water Bubble,Water Absorb,Description not available yet,
Fomantis,Sickle Grass Pokemon,Grass,,(0.3m),(1.5 kg),Leaf Guard,Contrary,Description not available yet,
Lurantis,Bloom Sickle Pokemon,Grass,,(0.9m),(18.5 kg),Leaf Guard,Contrary,Description not available yet,
Morelull,Illuminating Pokemon,Grass,Fairy,(0.2m),(1.5 kg),Illuminate,Effect Spore,Description not available yet,Rain Dish
Shiinotic,Illuminating Pokemon,Grass,Fairy,(1m),(11.5 kg),Illuminate,Effect Spore,Description not available yet,Rain Dish
Salandit,Toxic Lizard Pokemon,Poison,Fire,(0.6m),(4.8 kg),Corrosion,Oblivious,Description not available yet,
Salazzle,Toxic Lizard Pokemon,Poison,Fire,(1.2m),(22.2 kg),Corrosion,Oblivious,Description not available yet,
Stufful,Flailing Pokemon,Normal,Fighting,(0.5m),(6.8 kg),Fluffy,Klutz,Description not available yet,Cute Charm
Bewear,Strong Arm Pokemon,Normal,Fighting,(2.1m),(135 kg),Fluffy,Klutz,Description not available yet,Unnerve
Bounsweet,Fruit Pokemon,Grass,,(0.3m),(3.2 kg),Leaf Guard,Oblivious,Description not available yet,Sweet Veil
Steenee,Fruit Pokemon,Grass,,(0.7m),(8.2 kg),Leaf Guard,Oblivious,Description not available yet,Sweet Veil
Tsareena,Fruit Pokemon,Grass,,(1.2m),(21.4 kg),Leaf Guard,Queenly Majesty,Description not available yet,Sweet Veil
Comfey,Posy Picker Pokemon,Fairy,,(0.1m),(0.3 kg),Flower Veil,Triage,Description not available yet,Natural Cure
Oranguru,Sage Pokemon,Normal,Psychic,(1.5m),(76 kg),Inner Focus,Telepathy,Description not available yet,Symbiosis
Passimian,Teamwork Pokemon,Fighting,,(2m),(82.8 kg),Receiver,Defiant,Description not available yet,
Wimpod,Turn Tail Pokemon,Bug,Water,(0.5m),(12 kg),Wimp Out,,Description not available yet,
Golisopod,Hard Scale Pokemon,Bug,Water,(2m),(108 kg),Emergency Exit,,Description not available yet,
Sandygast,Sand Heap Pokemon,Ghost,Ground,(0.5m),(70 kg),Water Compaction,Sand Veil,Description not available yet,
Palossand,Sand Castle Pokemon,Ghost,Ground,(1.3m),(250 kg),Water Compaction,Sand Veil,Description not available yet,
Pyukumuku,Sea Cucumber Pokemon,Water,,(0.3m),(1.2 kg),Innards Out,Unaware,Description not available yet,
Type: Null,Synthetic Pokemon,Normal,,(1.9m),(120.5 kg),Battle Armor,,Description not available yet,
Silvally,Synthetic Pokemon,Normal,,(2.3m),(100.5 kg),RKS System,,Description not available yet,
Minior,Meteor Pokemon,Rock,Flying,(0.3m),(40 kg),Shields Down,,Description not available yet,
Komala,Drowsing Pokemon,Normal,,(0.4m),(19.9 kg),Comatose,,Description not available yet,
Turtonator,Blast Turtle Pokemon,Fire,Dragon,(2m),(212 kg),Shell Armor,,Description not available yet,
Togedemaru,Roly-Poly Pokemon,Electric,Steel,(0.3m),(3.3 kg),Iron Barbs,Lightningrod,Description not available yet,Sturdy
Mimikyu,Disguise Pokemon,Ghost,Fairy,(0.2m),(0.7 kg),Disguise,,Description not available yet,
Bruxish,Gnash Teeth Pokemon,Water,Psychic,(0.9m),(19 kg),Dazzling,Strong Jaw,Description not available yet,Wonder Skin 
Drampa,Placid Pokemon,Normal,Dragon,(3m),(185 kg),Berserk,Sap Sipper,Description not available yet,Cloud Nine
Dhelmise,Sea Creeper Pokemon,Ghost,Grass,(3.9m),(210 kg),Steelworker,,Description not available yet,
Jangmo-o,Scaly Pokemon,Dragon,,(0.6m),(29.7 kg),Bulletproof,Soundproof,Description not available yet,Overcoat
Hakamo-o,Scaly Pokemon,Dragon,Fighting,(1.2m),(47 kg),Bulletproof,Soundproof,Description not available yet,Overcoat
Kommo-o,Scaly Pokemon,Dragon,Fighting,(1.6m),(78.2 kg),Bulletproof,Soundproof,Description not available yet,Overcoat
Tapu Koko,Land Spirit Pokemon,Electric,Fairy,(1.8m),(20.5 kg),Electric Surge,Telepathy,Description not available yet,
Tapu Lele,Land Spirit Pokemon,Psychic,Fairy,(1.2m),(18.6 kg),Psychic Surge,Telepathy,Description not available yet,
Tapu Bulu,Land Spirit Pokemon,Grass,Fairy,(1.9m),(45.5 kg),Grassy Surge,Telepathy,Description not available yet,
Tapu Fini,Land Spirit Pokemon,Water,Fairy,(1.3m),(21.2 kg),Misty Surge,Telepathy,Description not available yet,
Cosmog,Nebula Pokemon,Psychic,,(0.2m),(0.1 kg),Unaware,,Description not available yet,
Cosmoem,Protostar Pokemon,Psychic,,(0.1m),(999.9 kg),Sturdy,,Description not available yet,
Solgaleo,Sunne Pokemon,Psychic,Steel,(3.4m),(230 kg),Full Metal Body,,Description not available yet,
Lunala,Moone Pokemon,Psychic,Ghost,(4m),(120 kg),Shadow Shield,,Description not available yet,
Nihilego,Parasite Pokemon,Rock,Poison,(1.2m),(55.5 kg),Beast Boost,,Description not available yet,
Buzzwole,Swollen Pokemon,Bug,Fighting,(2.4m),(333.6 kg),Beast Boost,,Description not available yet,
Pheromosa,Lissome Pokemon,Bug,Fighting,(1.8m),(25 kg),Beast Boost,,Description not available yet,
Xurkitree,Glowing Pokemon,Electric,,(3.8m),(100 kg),Beast Boost,,Description not available yet,
Celesteela,Launch Pokemon,Steel,Flying,(9.2m),(999.9 kg),Beast Boost,,Description not available yet,
Kartana,Drawn Sword Pokemon,Grass,Steel,(0.3m),(0.1 kg),Beast Boost,,Description not available yet,
Guzzlord,Junkivore Pokemon,Dark,Dragon,(5.5m),(888 kg),Beast Boost,,Description not available yet,
Necrozma,Prism Pokemon,Psychic,,(2.4m),(230 kg),Prism Armor,,Description not available yet,
Magearna,Artificial Pokemon,Steel,Fairy,(1m),(80.5 kg),Soul-Heart,,Description not available yet,
